Infinity,1,Infinity,0,Infinity,1,Infinity
58.89617,12,706.754,0,54.68322,12,656.1987
59.95168,11,659.4685,0,55.44437,11,609.8881
58.90546,11,647.96,0,54.82255,11,603.048
58.90546,11,647.96,0,56.84635,11,625.3099
58.90546,11,647.96,0,55.38945,10,553.8945
58.0919,12,697.1028,0,54.51573,11,599.673
58.63152,11,644.9468,0,54.58104,11,600.3914
58.86023,10,588.6023,0,49.78862,11,547.6748
57.85875,11,636.4462,0,52.112,12,625.344
57.80062,10,578.0062,0,52.82453,12,633.8943
57.80062,10,578.0062,0,52.79343,12,633.5212
57.12503,11,628.3754,0,52.08516,13,677.1071
56.93596,10,569.3596,0,50.90806,13,661.8048
56.93596,10,569.3596,0,50.97977,13,662.737
55.63234,11,611.9557,0,51.77192,14,724.8069
55.63234,11,611.9557,0,49.73271,14,696.2579
49.75192,11,547.2711,0,46.8736,15,703.1039
54.77309,11,602.504,0,51.44541,13,668.7903
54.91427,10,549.1427,0,50.24664,12,602.9597
51.50551,11,566.5606,0,48.98763,13,636.8391
55.15018,11,606.652,0,51.91782,13,674.9316
54.78525,10,547.8525,0,52.93016,13,688.092
52.55242,11,578.0767,0,50.20719,14,702.9006
55.33445,11,608.679,0,52.75539,14,738.5755
55.33445,11,608.679,0,52.73713,14,738.3198
53.01089,12,636.1307,0,52.82285,12,633.8743
54.81546,12,657.7855,0,54.22084,12,650.65
54.61943,12,655.4332,0,54.74616,11,602.2078
51.83991,13,673.9188,0,53.44624,12,641.3549
54.07259,13,702.9436,0,52.77327,12,633.2792
55.51528,12,666.1833,0,53.49155,12,641.8987
54.73184,13,711.5139,0,50.6819,13,658.8647
54.73184,13,711.5139,0,52.9423,11,582.3654
54.73184,13,711.5139,0,51.05501,10,510.5501
54.16011,14,758.2416,0,52.75397,11,580.2936
54.81233,13,712.5603,0,51.87936,11,570.6729
54.81233,13,712.5603,0,53.36306,11,586.9936
55.18903,14,772.6465,0,52.85817,12,634.298
54.39929,13,707.1907,0,52.30986,12,627.7184
55.16556,13,717.1522,0,53.3695,12,640.434
54.34988,14,760.8983,0,53.2602,13,692.3826
56.98782,12,683.8538,0,52.22742,13,678.9564
56.98782,12,683.8538,0,52.70744,13,685.1967
55.66067,13,723.5887,0,52.78894,14,739.0452
55.66067,13,723.5887,0,53.01715,14,742.2401
56.28024,12,675.3629,0,53.33325,13,693.3323
56.7958,12,681.5496,0,52.84212,14,739.7897
56.7958,12,681.5496,0,52.57467,14,736.0453
56.7958,12,681.5496,0,53.77625,13,699.0912
56.50282,13,734.5367,0,52.04266,13,676.5546
56.66821,12,680.0185,0,53.68776,13,697.9409
56.66821,12,680.0185,0,52.97693,13,688.7001
56.28732,11,619.1605,0,53.45725,13,694.9442
